Knoten Quelle;Wert Quelle;als Knoten senden;als Wert senden;zu IP
11;17;11;17;10.0.0.135
11;18;11;18;10.0.0.135
11;19;11;19;10.0.0.135
11;20;11;20;10.0.0.135
11;21;11;21;10.0.0.135
11;22;11;22;10.0.0.135
11;24;11;24;10.0.0.135
11;25;11;25;10.0.0.135
11;26;11;26;10.0.0.135
11;27;11;27;10.0.0.135
11;28;11;28;10.0.0.135
11;29;11;29;10.0.0.135
11;30;11;30;10.0.0.135
12;17;12;17;10.0.0.135
12;18;12;18;10.0.0.135
12;19;12;19;10.0.0.135
12;20;12;20;10.0.0.135
12;21;12;21;10.0.0.135
12;22;12;22;10.0.0.135
12;23;12;23;10.0.0.135
